player_id,player_name
608385,"Winker, Jesse"
668800,"Knizner, Andrew"
595909,"Cave, Jake"
678894,"Peguero, Liover"
596103,"Slater, Austin"
605170,"Caratini, Victor"
572204,"Thompson, Trayce"
605131,"Barnes, Austin"
605113,"Ahmed, Nick"
682848,"Rodríguez, Endy"
571912,"Maile, Luke"
624512,"McGuire, Reese"
664874,"Zavala, Seby"
543685,"Rendon, Anthony"
681351,"O'Hoppe, Logan"
607680,"Pillar, Kevin"
622110,"Duffy, Matt"
621466,"Stewart, DJ"
595978,"Hedges, Austin"
649966,"Urías, Luis"
542208,"Pérez, Carlos"
624414,"Arroyo, Christian"
672779,"Marcano, Tucupita"
663368,"Perkins, Blake"
672724,"Peraza, Oswald"
518626,"Donaldson, Josh"
622569,"Reyes, Pablo"
676369,"Velázquez, Nelson"
663898,"Rodgers, Brendan"
595453,"Wallach, Chad"
660757,"Gonzalez, Oscar"
641511,"Delay, Jason"
664238,"Moore, Dylan"
594777,"Calhoun, Kole"
666906,"Alu, Jake"
606132,"Tapia, Raimel"
596115,"Story, Trevor"
671289,"Freeman, Tyler"
543592,"Nola, Austin"
672820,"Sosa, Lenyn"
665804,"Amaya, Miguel"
624431,"Trevino, Jose"
641856,"McKinney, Billy"
665839,"Valdez, Enmanuel"
665019,"Clemens, Kody"
572287,"Zunino, Mike"
670156,"Mastrobuoni, Miles"
686527,"Canzone, Dominic"
642851,"Wynns, Austin"
669134,"Campusano, Luis"
570731,"Schoop, Jonathan"
678009,"Meadows, Parker"
608596,"Murphy, Tom"
596059,"Odor, Rougned"
595956,"Gallagher, Cam"
676480,"Barrero, Jose"
542364,"Ortega, Rafael"
676914,"Schneider, Davis"
669911,"Toglia, Michael"
642336,"Mejía, Francisco"
553882,"Narváez, Omar"
621545,"Remillard, Zach"
656180,"Adams, Riley"
443558,"Cruz, Nelson"
641432,"Calhoun, Willie"
679032,"Rojas, Johan"
608348,"Kelly, Carson"
572041,"Pollock, AJ"
571976,"Myers, Wil"
676946,"Batten, Matthew"
572816,"Dickerson, Corey"
669304,"Miranda, Jose"
681584,"Villar, David"
663845,"Rivas III, Alfonso"
691026,"Winn, Masyn"
689172,"Wisely, Brett"
694384,"Schanuel, Nolan"
691016,"Soderstrom, Tyler"
675656,"Smith, Kevin"
596847,"Choi, Ji Man"
663630,"McKenna, Ryan"
645444,"Herrera, Jose"
680118,"Blanco, Dairon"
571466,"Barnhart, Tucker"
671732,"Butler, Lawrence"
693304,"Gonzales, Nick"
596117,"Stubbs, Garrett"
641645,"Guillorme, Luis"
696285,"Young, Jacob"
663527,"Nevin, Tyler"
681146,"Bride, Jonah"
665120,"Walsh, Jared"
675961,"Williams, Alika"
645302,"Robles, Victor"
666018,"Aranda, Jonathan"
542583,"Aguilar, Jesús"
663609,"Baker, Luken"
682622,"Marte, Noelvi"
541645,"García, Avisaíl"
681807,"Fry, David"
687799,"Marlowe, Cade"
572138,"Singleton, Jon"
641505,"Davis, Jonathan"
664059,"Haggerty, Sam"
598265,"Bradley Jr., Jackie"
680700,"Palacios, Richie"
543333,"Hosmer, Eric"
670223,"Mervis, Matt"
682073,"Hensley, David"
677595,"Mauricio, Ronny"
650907,"Pinto, René"
543281,"Harrison, Josh"
677592,"Pereira, Everson"
665506,"Pache, Cristian"
656669,"Luplow, Jordan"
666150,"Fletcher, Dominic"
644374,"Chang, Yu"
656308,"Chavis, Michael"
592200,"Casali, Curt"
681297,"Cowser, Colton"
663853,"Gonzalez, Romy"
677800,"Abreu, Wilyer"
678882,"Rafaela, Ceddanne"
623205,"Velazquez, Andrew"
683737,"Busch, Michael"
668843,"Capel, Conner"
640492,"Azocar, José"
663698,"Bart, Joey"
666198,"Kieboom, Carter"
